machine_type,task_type,time_of_day,weather_condition,month,day_of_week,context_risk_score,hazard_type,severity_score
Crane,General Construction,Unknown,Clear/Unknown,11,Monday,73.14,Caught-in,4.0
Truck,General Construction,Unknown,Clear/Unknown,11,Tuesday,43.86,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Tuesday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,33.33,Contact-with,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Friday,47.52,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,11,Friday,43.83,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,11,Monday,40.14,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Friday,43.86,Fall,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,11,Friday,40.95,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,11,Saturday,44.08,Collision,1.0
Excavator,General Construction,Unknown,Clear/Unknown,11,Sunday,24.96,Other,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,11,Monday,37.54,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,11,Monday,65.45,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,11,Tuesday,55.45,Struck-by,1.0
Crane,General Construction,Unknown,Muddy,11,Tuesday,98.29,Struck-by,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Wednesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Wednesday,31.88,Other,1.0
Excavator,General Construction,Unknown,Clear/Unknown,11,Monday,78.36,Struck-by,4.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Monday,50.92,Fall,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Monday,34.16,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Monday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Thursday,43.86,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Friday,43.16,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Friday,33.33,Contact-with,1.0
Loader,General Construction,Unknown,Clear/Unknown,12,Monday,43.45,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Tuesday,62.14,Caught-in,3.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,12,Tuesday,40.79,Electrocution,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Tuesday,40.14,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Wednesday,43.86,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,12,Wednesday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,12,Monday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Tuesday,43.47,Back-over,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Wednesday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Wednesday,55.45,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,12,Thursday,37.54,Fall,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,12,Thursday,40.06,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,12,Friday,50.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,12,Saturday,34.68,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,12,Tuesday,43.83,Struck-by,1.0
Excavator,General Construction,Unknown,Muddy,12,Tuesday,65.99,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Tuesday,29.69,Pinch-Point,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Wednesday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,12,Tuesday,50.92,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Tuesday,67.57,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,12,Tuesday,48.99,Electrocution,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,12,Wednesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Monday,69.19,Caught-in,3.0
Loader,General Construction,Unknown,Clear/Unknown,1,Tuesday,58.9,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Wednesday,47.52,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Wednesday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,1,Wednesday,38.65,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,1,Thursday,40.63,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Friday,48.99,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Monday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Tuesday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,1,Wednesday,49.65,Fall,2.0
Crane,General Construction,Unknown,Clear/Unknown,1,Wednesday,40.14,Caught-in,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Wednesday,46.43,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,1,Wednesday,39.83,Struck-by,1.0
Loader,Maintenance,Unknown,Clear/Unknown,1,Thursday,39.6,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Thursday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Thursday,45.36,Struck-by,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,40.06,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Sunday,31.88,Other,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,1,Monday,37.36,Caught-in,1.0
Loader,Operating,Unknown,Clear/Unknown,1,Monday,40.44,Struck-by,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,40.06,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,1,Friday,43.45,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,1,Monday,42.7,Tip-over,1.0
Loader,General Construction,Unknown,Clear/Unknown,1,Monday,42.26,Back-over,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Monday,45.36,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Tuesday,69.19,Caught-in,3.0
Truck,Operating,Unknown,Clear/Unknown,1,Wednesday,48.3,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,45.2,Fall,2.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,38.77,Caught-in,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,42.67,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,64.96,Caught-in,3.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Friday,46.43,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,1,Friday,59.3,Struck-by,2.0
Truck,General Construction,Unknown,Clear/Unknown,2,Monday,49.94,Run-over,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,42.67,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,38.65,Fall,1.0
Truck,General Construction,Unknown,Snow/Ice,2,Tuesday,100.0,Fall,3.0
Truck,General Construction,Unknown,Clear/Unknown,2,Wednesday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Wednesday,34.82,Pinch-Point,1.0
Truck,General Construction,Unknown,Snow/Ice,2,Thursday,91.71,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Sunday,77.45,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Monday,43.16,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Tuesday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Muddy,2,Tuesday,44.92,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Tuesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Wednesday,55.45,Struck-by,1.0
Truck,Maintenance,Unknown,Snow/Ice,2,Thursday,83.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Friday,37.29,Caught-in,1.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Friday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,50.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Thursday,34.68,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Friday,42.1,Tip-over,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,2,Saturday,67.98,Caught-in,4.0
Loader,Operating,Unknown,Clear/Unknown,2,Monday,40.44,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,2,Monday,41.8,Struck-by,1.0
Truck,General Construction,Unknown,Snow/Ice,2,Monday,91.71,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Monday,69.19,Caught-in,3.0
Crane,General Construction,Unknown,Wind,2,Tuesday,100.0,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Tuesday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,2,Wednesday,59.36,Caught-in,3.0
Truck,Operating,Unknown,Clear/Unknown,2,Wednesday,48.3,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Wednesday,46.43,Struck-by,1.0
Roller,General Construction,Unknown,Clear/Unknown,2,Wednesday,58.79,Caught-in,3.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,2,Saturday,71.77,Caught-in,4.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Monday,38.57,Caught-in,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Wednesday,43.45,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Monday,62.14,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,3,Monday,69.19,Caught-in,3.0
Loader,Maintenance,Unknown,Clear/Unknown,3,Tuesday,39.6,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,3,Wednesday,45.36,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Friday,33.33,Contact-with,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Friday,37.77,Collision,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Friday,43.83,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Monday,43.16,Tip-over,1.0
Excavator,General Construction,Unknown,Clear/Unknown,3,Tuesday,45.36,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,3,Tuesday,45.36,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Wednesday,73.14,Caught-in,4.0
Truck,Operating,Unknown,Clear/Unknown,3,Wednesday,44.08,Collision,1.0
Truck,General Construction,Unknown,Muddy,3,Friday,68.63,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Sunday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Monday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Tuesday,46.43,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Tuesday,68.43,Struck-by,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Wednesday,75.96,Caught-in,4.0
Backhoe,General Construction,Unknown,Clear/Unknown,3,Wednesday,39.83,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,3,Wednesday,41.8,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,3,Thursday,48.3,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Friday,50.92,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,3,Saturday,61.83,Struck-by,3.0
Crane,General Construction,Unknown,Wind,3,Saturday,45.57,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Saturday,77.45,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,3,Saturday,33.33,Contact-with,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Monday,41.99,Electrocution,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,37.54,Fall,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,3,Tuesday,40.44,Electrocution,1.0
Crane,General Construction,Unknown,Clear/Unknown,4,Thursday,36.16,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,4,Thursday,61.83,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,4,Saturday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Thursday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,50.92,Fall,1.0
Loader,Operating,Unknown,Clear/Unknown,4,Friday,33.85,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Friday,45.36,Struck-by,1.0
Loader,Maintenance,Unknown,Clear/Unknown,4,Friday,66.76,Fall,4.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,43.83,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Monday,46.43,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,4,Tuesday,41.05,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,4,Wednesday,40.34,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,38.65,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Friday,46.43,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,4,Tuesday,41.05,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Tuesday,55.45,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,4,Tuesday,65.45,Struck-by,3.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Tuesday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,4,Tuesday,34.98,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Wednesday,64.96,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,4,Wednesday,55.45,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,4,Thursday,40.6,Tip-over,1.0
Roller,General Construction,Unknown,Clear/Unknown,4,Friday,41.97,Tip-over,1.0
Crane,General Construction,Unknown,Clear/Unknown,4,Friday,45.57,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,5,Saturday,43.16,Electrocution,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,55.45,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,5,Monday,43.45,Struck-by,1.0
Excavator,Excavation,Unknown,Rain,5,Monday,59.7,Struck-by,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Monday,40.31,Electrocution,1.0
Trencher,Loading/Unloading,Unknown,Clear/Unknown,5,Tuesday,32.33,Fall,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,5,Wednesday,40.34,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Thursday,43.83,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Thursday,48.58,Tip-over,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Sunday,38.57,Caught-in,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,5,Tuesday,39.83,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Tuesday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,5,Thursday,42.67,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Thursday,31.88,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Thursday,30.88,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Sunday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Tuesday,43.83,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,5,Tuesday,45.36,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,5,Tuesday,43.45,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,5,Wednesday,25.68,Contact-with,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Wednesday,48.99,Electrocution,1.0
Truck,Maintenance,Unknown,Clear/Unknown,5,Wednesday,63.93,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,5,Thursday,45.57,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Thursday,50.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Wednesday,24.96,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Friday,50.92,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,6,Friday,45.57,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,6,Friday,33.05,Fall,1.0
Concrete Mixer,General Construction,Unknown,Clear/Unknown,6,Wednesday,70.64,Caught-in,4.0
Crane,General Construction,Unknown,Clear/Unknown,6,Thursday,45.57,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Monday,69.52,Struck-by,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,6,Monday,37.54,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,6,Tuesday,43.83,Struck-by,1.0
Grader,General Construction,Unknown,Clear/Unknown,6,Wednesday,21.44,Other,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,6,Thursday,43.83,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,6,Wednesday,45.36,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Muddy,6,Wednesday,54.61,Fall,1.0
Excavator,Operating,Unknown,Clear/Unknown,6,Wednesday,40.61,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Wednesday,43.86,Fall,1.0
Roller,General Construction,Unknown,Clear/Unknown,6,Thursday,58.79,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Thursday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,6,Friday,43.83,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,6,Wednesday,39.0,Collision,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Wednesday,47.52,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,6,Wednesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Wednesday,31.88,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,6,Wednesday,69.19,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,7,Thursday,43.16,Electrocution,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Saturday,43.86,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Tuesday,48.99,Electrocution,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Tuesday,43.45,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,7,Wednesday,74.05,Struck-by,4.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,40.95,Struck-by,1.0
Loader,General Construction,Unknown,Muddy,7,Friday,85.67,Caught-in,3.0
Forklift,General Construction,Unknown,Clear/Unknown,7,Friday,65.47,Back-over,3.0
Truck,General Construction,Unknown,Clear/Unknown,7,Friday,48.58,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,7,Friday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Monday,45.36,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,7,Tuesday,42.67,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,7,Tuesday,63.8,Struck-by,3.0
Crane,Operating,Unknown,Clear/Unknown,7,Wednesday,41.97,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Wednesday,50.92,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,7,Friday,43.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Friday,30.88,Other,1.0
Excavator,General Construction,Unknown,Clear/Unknown,7,Tuesday,48.61,Contact-with,3.0
Truck,General Construction,Unknown,Clear/Unknown,7,Wednesday,55.45,Struck-by,1.0
Roller,Maintenance,Unknown,Clear/Unknown,7,Monday,24.15,Other,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,7,Tuesday,67.98,Caught-in,4.0
Paver,General Construction,Unknown,Heat,7,Tuesday,31.13,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,7,Wednesday,30.88,Other,1.0
Truck,Setup/Positioning,Unknown,Muddy,7,Wednesday,46.9,Contact-with,1.0
Pile Driver,Loading/Unloading,Unknown,Clear/Unknown,7,Thursday,37.5,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,7,Friday,39.66,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Tuesday,26.12,Contact-with,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,8,Wednesday,22.17,Other,1.0
Truck,Operating,Unknown,Clear/Unknown,8,Thursday,51.63,Fall,2.0
Backhoe,Excavation,Unknown,Clear/Unknown,8,Friday,38.8,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,8,Saturday,39.66,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Saturday,80.19,Caught-in,4.0
Dump Truck,General Construction,Unknown,Clear/Unknown,8,Sunday,40.34,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Monday,49.94,Run-over,1.0
Crane,General Construction,Unknown,Clear/Unknown,8,Monday,62.14,Caught-in,3.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Monday,34.68,Fall,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,8,Tuesday,39.21,Tip-over,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Tuesday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Friday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Saturday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,8,Saturday,37.54,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,8,Monday,39.83,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Monday,46.43,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Wednesday,43.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Thursday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,32.43,Contact-with,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Friday,43.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Friday,50.92,Fall,1.0
Crane,Operating,Unknown,Clear/Unknown,8,Saturday,37.78,Caught-in,1.0
Excavator,General Construction,Unknown,Clear/Unknown,8,Tuesday,45.36,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Tuesday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,81.99,Electrocution,4.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Thursday,42.67,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,9,Friday,67.57,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Tuesday,46.43,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,9,Wednesday,65.45,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,9,Thursday,88.45,Struck-by,4.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Thursday,45.36,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,9,Friday,34.2,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,37.54,Fall,1.0
Excavator,Excavation,Unknown,Clear/Unknown,9,Monday,41.05,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Tuesday,31.88,Other,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,50.92,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,9,Wednesday,32.43,Contact-with,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Thursday,38.77,Caught-in,1.0
Roller,General Construction,Unknown,Clear/Unknown,9,Thursday,58.79,Caught-in,3.0
Truck,Maintenance,Unknown,Clear/Unknown,9,Friday,45.85,Struck-by,1.0
Paver,General Construction,Unknown,Clear/Unknown,9,Friday,32.45,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Sunday,48.99,Electrocution,1.0
Crane,General Construction,Unknown,Clear/Unknown,9,Monday,45.57,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,37.54,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Monday,33.33,Contact-with,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,43.86,Fall,1.0
Forklift,General Construction,Unknown,Wet Surface,9,Wednesday,40.48,Pinch-Point,1.0
Excavator,General Construction,Unknown,Clear/Unknown,9,Friday,45.36,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,9,Friday,39.83,Struck-by,1.0
Roller,General Construction,Unknown,Clear/Unknown,9,Saturday,65.43,Run-over,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Saturday,50.92,Fall,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Saturday,73.34,Struck-by,4.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,43.83,Struck-by,1.0
Concrete Pump,General Construction,Unknown,Clear/Unknown,9,Monday,58.82,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,9,Tuesday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Tuesday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Tuesday,37.54,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,9,Tuesday,44.08,Collision,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,9,Wednesday,25.71,Other,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,9,Thursday,42.62,Back-over,1.0
